list_no,list_nm,finance_cd,term,base_month,account_cd,account_nm,column_id,column_nm,value
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A,자산총계,a,금액,17122495626000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A,자산총계,a,금액,16924955797000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A,자산총계,a,금액,16582441490000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A,자산총계,a,금액,17457340347000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A,자산총계,a,금액,17300116083000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A,자산총계,a,금액,17689552776000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A,자산총계,a,금액,17948012720000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A,자산총계,a,금액,17764249826000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A,자산총계,a,금액,17854053807000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A,자산총계,b,구성비,100.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A,자산총계,b,구성비,100.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A,자산총계,b,구성비,100.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A,자산총계,b,구성비,100.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A,자산총계,b,구성비,100.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A,자산총계,b,구성비,100.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A,자산총계,b,구성비,100.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A,자산총계,b,구성비,100.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A,자산총계,b,구성비,100.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A1,운용자산,a,금액,16091950473000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A1,운용자산,a,금액,15913865307000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A1,운용자산,a,금액,15568908048000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A1,운용자산,a,금액,16347072166000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A1,운용자산,a,금액,16165294783000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A1,운용자산,a,금액,16513555117000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A1,운용자산,a,금액,16791492267000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A1,운용자산,a,금액,16587474924000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A1,운용자산,a,금액,16622862021000.0
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A1,운용자산,b,구성비,93.98
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202306,A1,운용자산,b,구성비,94.03
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202309,A1,운용자산,b,구성비,93.89
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202312,A1,운용자산,b,구성비,93.64
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202403,A1,운용자산,b,구성비,93.44
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202406,A1,운용자산,b,구성비,93.35
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202409,A1,운용자산,b,구성비,93.56
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202412,A1,운용자산,b,구성비,93.38
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202503,A1,운용자산,b,구성비,93.1
SH150,요약재무상태표(자산-전체(23.3월 이후)),0010607,Q,202303,A11,운용자산_현금및예치금,a,금액,170521362000.0
