list_no,list_nm,account_cd,account_nm,column_id,column_nm
SH001,임직원및설계사현황,A,임직원,a,임직원수
SH001,임직원및설계사현황,A1,임직원_등기임원,a,임직원수
SH001,임직원및설계사현황,A2,임직원_비등기임원,a,임직원수
SH001,임직원및설계사현황,A3,임직원_직원,a,임직원수
SH001,임직원및설계사현황,A31,임직원_직원_정규직원,a,임직원수
SH001,임직원및설계사현황,A32,임직원_직원_비정규직원,a,임직원수
SH001,임직원및설계사현황,B,등록 설계사,a,임직원수
SH001,임직원및설계사현황,B1,등록 설계사_전속 설계사,a,임직원수
SH001,임직원및설계사현황,B2,등록 설계사_교차모집 설계사,a,임직원수
SH002,점포및대리점현황,A,점포계,a,수
SH002,점포및대리점현황,A1,점포계_본부,a,수
SH002,점포및대리점현황,A2,점포계_지점,a,수
SH002,점포및대리점현황,A3,점포계_영업소,a,수
SH002,점포및대리점현황,A5,"점포계_해외 현지법인, 해외지점, 해외사무소",a,수
SH002,점포및대리점현황,B,대리점계,a,수
SH002,점포및대리점현황,B1,대리점계_개인,a,수
SH002,점포및대리점현황,B2,대리점계_법인,a,수
SH003,요약재무상태표(자산-전체(22.12월 이전)),A,자산총계,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A,자산총계,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1,운용자산,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1,운용자산,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A11,현금과예치금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A11,현금과예치금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A110,현금과예치금_현금과예금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A110,현금과예치금_현금과예금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1100,현금과예치금_현금과예금_현금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1100,현금과예치금_현금과예금_현금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1101,현금과예치금_현금과예금_당좌예금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1101,현금과예치금_현금과예금_당좌예금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1102,현금과예치금_현금과예금_보통예금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1102,현금과예치금_현금과예금_보통예금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1103,현금과예치금_현금과예금_정기예금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1103,현금과예치금_현금과예금_정기예금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1104,현금과예치금_현금과예금_정기적금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1104,현금과예치금_현금과예금_정기적금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1105,현금과예치금_현금과예금_해외제예금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1105,현금과예치금_현금과예금_해외제예금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1106,현금과예치금_현금과예금_기타예금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1106,현금과예치금_현금과예금_기타예금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A111,현금과예치금_금전신탁,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A111,현금과예치금_금전신탁,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A112,현금과예치금_선물거래예치금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A112,현금과예치금_선물거래예치금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A113,현금과예치금_기타예치금,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A113,현금과예치금_기타예치금,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12,유가증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12,유가증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B,유가증권_당기손익인식증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B,유가증권_당기손익인식증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B0,유가증권_당기손익인식증권_(단기매매증권),a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B0,유가증권_당기손익인식증권_(단기매매증권),b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B1,유가증권_당기손익인식증권_(당기손익인식지정증권),a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B1,유가증권_당기손익인식증권_(당기손익인식지정증권),b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B2,유가증권_당기손익인식증권_주식,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B2,유가증권_당기손익인식증권_주식,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B20,유가증권_당기손익인식증권_주식_상장주식,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B20,유가증권_당기손익인식증권_주식_상장주식,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B21,유가증권_당기손익인식증권_주식_기타,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B21,유가증권_당기손익인식증권_주식_기타,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B3,유가증권_당기손익인식증권_국·공채,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B3,유가증권_당기손익인식증권_국·공채,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B30,유가증권_당기손익인식증권_국·공채_국채,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B30,유가증권_당기손익인식증권_국·공채_국채,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B31,유가증권_당기손익인식증권_국·공채_공채,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B31,유가증권_당기손익인식증권_국·공채_공채,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B4,유가증권_당기손익인식증권_특수채,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B4,유가증권_당기손익인식증권_특수채,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B5,유가증권_당기손익인식증권_금융채,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B5,유가증권_당기손익인식증권_금융채,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B6,유가증권_당기손익인식증권_회사채,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B6,유가증권_당기손익인식증권_회사채,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B7,유가증권_당기손익인식증권_수익증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B7,유가증권_당기손익인식증권_수익증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B8,유가증권_당기손익인식증권_외화유가증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B8,유가증권_당기손익인식증권_외화유가증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B80,유가증권_당기손익인식증권_외화유가증권_주식,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B80,유가증권_당기손익인식증권_외화유가증권_주식,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B81,유가증권_당기손익인식증권_외화유가증권_채권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B81,유가증권_당기손익인식증권_외화유가증권_채권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B82,유가증권_당기손익인식증권_외화유가증권_수익증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B82,유가증권_당기손익인식증권_외화유가증권_수익증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B83,유가증권_당기손익인식증권_외화유가증권_신종유가증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B83,유가증권_당기손익인식증권_외화유가증권_신종유가증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B84,유가증권_당기손익인식증권_외화유가증권_기타유가증권,a,금액
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B84,유가증권_당기손익인식증권_외화유가증권_기타유가증권,b,구성비
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B9,유가증권_당기손익인식증권_기타유가증권,a,금액
