list_no,list_nm,account_cd,account_nm,within_account_nm,still_otm
SH001,임직원및설계사현황,A,임직원,임직원,0
SH001,임직원및설계사현황,A1,임직원_등기임원,등기임원,0
SH001,임직원및설계사현황,A2,임직원_비등기임원,비등기임원,0
SH001,임직원및설계사현황,A3,임직원_직원,직원,0
SH001,임직원및설계사현황,A31,임직원_직원_정규직원,정규직원,0
SH001,임직원및설계사현황,A32,임직원_직원_비정규직원,비정규직원,0
SH001,임직원및설계사현황,B,등록 설계사,등록 설계사,0
SH001,임직원및설계사현황,B1,등록 설계사_전속 설계사,전속 설계사,0
SH001,임직원및설계사현황,B2,등록 설계사_교차모집 설계사,교차모집 설계사,0
SH002,점포및대리점현황,A,점포계,점포계,0
SH002,점포및대리점현황,A1,점포계_본부,본부,0
SH002,점포및대리점현황,A2,점포계_지점,지점,0
SH002,점포및대리점현황,A3,점포계_영업소,영업소,0
SH002,점포및대리점현황,A5,"점포계_해외 현지법인, 해외지점, 해외사무소","해외 현지법인, 해외지점, 해외사무소",0
SH002,점포및대리점현황,B,대리점계,대리점계,0
SH002,점포및대리점현황,B1,대리점계_개인,개인,0
SH002,점포및대리점현황,B2,대리점계_법인,법인,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A,자산총계,자산총계,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1,운용자산,운용자산,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A11,현금과예치금,현금과예치금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A110,현금과예치금_현금과예금,현금과예금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1100,현금과예치금_현금과예금_현금,현금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1101,현금과예치금_현금과예금_당좌예금,당좌예금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1102,현금과예치금_현금과예금_보통예금,보통예금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1103,현금과예치금_현금과예금_정기예금,정기예금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1104,현금과예치금_현금과예금_정기적금,정기적금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1105,현금과예치금_현금과예금_해외제예금,해외제예금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A1106,현금과예치금_현금과예금_기타예금,기타예금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A111,현금과예치금_금전신탁,금전신탁,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A112,현금과예치금_선물거래예치금,선물거래예치금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A113,현금과예치금_기타예치금,기타예치금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12,유가증권,유가증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B,유가증권_당기손익인식증권,당기손익인식증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B0,유가증권_당기손익인식증권_(단기매매증권),(단기매매증권),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B1,유가증권_당기손익인식증권_(당기손익인식지정증권),(당기손익인식지정증권),0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B2,유가증권_당기손익인식증권_주식,주식,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B20,유가증권_당기손익인식증권_주식_상장주식,상장주식,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B21,유가증권_당기손익인식증권_주식_기타,기타,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B3,유가증권_당기손익인식증권_국·공채,국·공채,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B30,유가증권_당기손익인식증권_국·공채_국채,국채,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B31,유가증권_당기손익인식증권_국·공채_공채,공채,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B4,유가증권_당기손익인식증권_특수채,특수채,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B5,유가증권_당기손익인식증권_금융채,금융채,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B6,유가증권_당기손익인식증권_회사채,회사채,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B7,유가증권_당기손익인식증권_수익증권,수익증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B8,유가증권_당기손익인식증권_외화유가증권,외화유가증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B80,유가증권_당기손익인식증권_외화유가증권_주식,주식,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B81,유가증권_당기손익인식증권_외화유가증권_채권,채권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B82,유가증권_당기손익인식증권_외화유가증권_수익증권,수익증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B83,유가증권_당기손익인식증권_외화유가증권_신종유가증권,신종유가증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B84,유가증권_당기손익인식증권_외화유가증권_기타유가증권,기타유가증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12B9,유가증권_당기손익인식증권_기타유가증권,기타유가증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C,유가증권_매도가능증권,매도가능증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C0,유가증권_매도가능증권_주식,주식,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C1,유가증권_매도가능증권_출자금,출자금,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C2,유가증권_매도가능증권_국·공채,국·공채,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C20,유가증권_매도가능증권_국·공채_국채,국채,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C21,유가증권_매도가능증권_국·공채_공채,공채,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C3,유가증권_매도가능증권_특수채,특수채,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C4,유가증권_매도가능증권_금융채,금융채,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C5,유가증권_매도가능증권_회사채,회사채,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C6,유가증권_매도가능증권_수익증권,수익증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C7,유가증권_매도가능증권_외화유가증권,외화유가증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C70,유가증권_매도가능증권_외화유가증권_주식,주식,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C71,유가증권_매도가능증권_외화유가증권_채권,채권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C72,유가증권_매도가능증권_외화유가증권_수익증권,수익증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C73,유가증권_매도가능증권_외화유가증권_신종유가증권,신종유가증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C74,유가증권_매도가능증권_외화유가증권_기타유가증권,기타유가증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12C8,유가증권_매도가능증권_기타유가증권,기타유가증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D,유가증권_만기보유증권,만기보유증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D0,유가증권_만기보유증권_국·공채,국·공채,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D00,유가증권_만기보유증권_국·공채_국채,국채,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D01,유가증권_만기보유증권_국·공채_공채,공채,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D1,유가증권_만기보유증권_특수채,특수채,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D2,유가증권_만기보유증권_금융채,금융채,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D3,유가증권_만기보유증권_회사채,회사채,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D4,유가증권_만기보유증권_수익증권,수익증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D5,유가증권_만기보유증권_외화유가증권,외화유가증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D50,유가증권_만기보유증권_외화유가증권_채권,채권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D51,유가증권_만기보유증권_외화유가증권_수익증권,수익증권,0
SH003,요약재무상태표(자산-전체(22.12월 이전)),A12D52,유가증권_만기보유증권_외화유가증권_신종유가증권,신종유가증권,0
